,artist,type,country,id,followers,imgUrl,genres,popularity
8217,Indigo la End,group,JP,26ZBeXl5Gqr3TAv2itmyCU,311080,https://i.scdn.co/image/ab6761610000e5ebe5f02cb036e35447fee2a65a,"j-pop,j-rock,japanese alternative rock,japanese indie pop,",60
8218,Spark Master Tape,,,0JXPiLgbGX4n86jsocSkG6,44301,https://i.scdn.co/image/ab6761610000e5ebeb0d7f59eeca825429ed54ec,"underground hip hop,",52
8219,Favorite,person,DE,4J6UXkUpIArZbKXhh0cOC2,185205,https://i.scdn.co/image/ab6761610000e5ebac6f6f2aa7b73e7ade846326,"antiviral pop,comic,",51
8220,AmsterdamSoundSystem,group,,2VY0tBQrNd2J2ZLZsjToB9,699,https://i.scdn.co/image/ab6761610000e5eba07a14005efcdb64efe5d472,,30
8221,Djavan,person,BR,5rrmaoBXZ7Jcs4Qb77j0YA,2420181,https://i.scdn.co/image/ab6761610000e5eb3f1dbad3d3615bdc0478ea88,"bossa nova,mpb,musica alagoana,",67
8222,Kjartan Lauritzen,,,0TW5M8RYADmgeCP1q523hf,22830,https://i.scdn.co/image/ab6761610000e5eb95ad3430ddacaaf4587a6264,"norwegian indie,norwegian pop,norwegian pop rap,",44
8223,Eneli,person,,77xr1BNiH6bg7sV7ufnFhe,7282,https://i.scdn.co/image/ab6761610000e5eb478c8624d20c6e80c8e97de9,"romanian pop,",48
8224,Hanson,group,US,0SdiiPkr02EUdekHZJkt58,443496,https://i.scdn.co/image/ab6761610000e5eb2498282f9ea13beba4c15a1a,"boy band,dance pop,pop rock,",60
8225,Chinook,,,7c0YaC1zF0Wdz93UeKfEFw,3559,https://i.scdn.co/image/ab6761610000e5eb453680be406215bd6eb69052,,24
8226,Salvador Seixas,person,,5SU2d735invrVbZ7eWJp1M,1219,https://i.scdn.co/image/ab6761610000e5eb523d738f202221c646044417,,38
8227,Stephy Tang,person,HK,4ujntV2BGRi7X4UbCmTFX0,40486,https://i.scdn.co/image/ab67616d0000b27331b786c1ad378f4eac9991e7,"c-pop,cantopop,",44
8228,Debrah Scarlett,person,CH,7CMX3TxcoCvI5tRPnXO4Ig,1956,https://i.scdn.co/image/ab6761610000e5eb21a9876b624e972eaaf17878,,26
8229,High Contrast,person,GB,0bxHci3JIhhKA53n8rH3tT,195180,https://i.scdn.co/image/ab6761610000e5eb2f180a61751f30b4b7b2724e,"drum and bass,uk dance,uk dnb,",56
8230,William Stridh,person,SE,5xDae0zB3YLr6lYvlMdpbR,1649,https://i.scdn.co/image/ab6761610000e5ebff815427a5887186d9c1cf01,,37
8231,Blur,group,GB,7MhMgCo0Bl0Kukl93PZbYS,2814885,https://i.scdn.co/image/ab6761610000e5ebfc71f603260f36bb53f2b29c,"alternative rock,britpop,madchester,modern rock,permanent wave,pop rock,rock,",71
8232,19HUNNID,,,2Zm4abMQXwcrsM9IWY3AoB,1453,https://i.scdn.co/image/ab6761610000e5eb941e8d97ebde3734655204f5,"thai trap,",32
8233,St. Lucia,person,US,5WId4o5jdGVhptNU0uqKxu,237561,https://i.scdn.co/image/ab6761610000e5eb0ccae599767908777d673eef,"alternative dance,chillwave,electropop,indie poptimism,indietronica,metropopolis,modern rock,neo-synthpop,nyc pop,shimmer pop,",51
8234,Yulien Oviedo,person,CU,0AglxiiP1X55pczgFkgdC4,18443,https://i.scdn.co/image/ab6761610000e5ebab7fcc52a4503d00fc1a51a7,"cubaton,",39
8235,Magnus Carlsson,person,SE,12VIfmT1N5FGyCuuXGKuYB,30476,https://i.scdn.co/image/ab6761610000e5eb065a2ac3e7ace2977a7adeb2,"classic swedish pop,europop,swedish pop,",38
